acceleration,mpg,model_year,cylinders,weight,displacement,car_name,horsepower,origin,msrp
12.0,18.0,70,8,3504,307.0,chevrolet chevelle malibu,130.0,1,2881
11.5,15.0,70,8,3693,350.0,buick skylark 320,165.0,1,2847
11.0,18.0,70,8,3436,318.0,plymouth satellite,150.0,1,2831
12.0,16.0,70,8,3433,304.0,amc rebel sst,150.0,1,NA
10.5,17.0,70,8,3449,302.0,ford torino,140.0,1,2778
10.0,15.0,70,8,4341,429.0,ford galaxie 500,198.0,1,3137
9.0,14.0,70,8,4354,454.0,chevrolet impala,220.0,1,3132
8.5,14.0,70,8,4312,440.0,plymouth fury iii,215.0,1,3174
10.0,14.0,70,8,4425,455.0,pontiac catalina,225.0,1,3164
8.5,15.0,70,8,3850,390.0,amc ambassador dpl,190.0,1,3114
17.5,NA,70,4,3090,133.0,citroen ds-21 pallas,115.0,2,NA
11.5,NA,70,8,4142,350.0,chevrolet chevelle concours (sw),165.0,1,3210
11.0,NA,70,8,4034,351.0,ford torino (sw),153.0,1,3164
10.5,NA,70,8,4166,383.0,plymouth satellite (sw),175.0,1,3191
11.0,NA,70,8,3850,360.0,amc rebel sst (sw),175.0,1,2766
10.0,15.0,70,8,3563,383.0,dodge challenger se,170.0,1,3914
8.0,14.0,70,8,3609,340.0,plymouth 'cuda 340,160.0,1,NA
8.0,NA,70,8,3353,302.0,ford mustang boss 302,140.0,1,3126
9.5,15.0,70,8,3761,400.0,chevrolet monte carlo,150.0,1,3123
10.0,14.0,70,8,3086,455.0,buick estate wagon (sw),225.0,1,4226
15.0,24.0,70,4,2372,113.0,toyota corona mark ii,95.00,3,2170
15.5,22.0,70,6,2833,198.0,plymouth duster,95.00,1,2547
15.5,18.0,70,6,2774,199.0,amc hornet,97.00,1,NA
16.0,21.0,70,6,2587,200.0,ford maverick,85.00,1,1995
14.5,27.0,70,4,2130,97.00,datsun pl510,88.00,3,NA
20.5,26.0,70,4,1835,97.00,volkswagen 1131 deluxe sedan,46.00,2,NA
17.5,25.0,70,4,2672,110.0,peugeot 504,87.00,2,NA
14.5,24.0,70,4,2430,107.0,audi 100 ls,90.00,2,NA
17.5,25.0,70,4,2375,104.0,saab 99e,95.00,2,NA
12.5,26.0,70,4,2234,121.0,bmw 2002,113.0,2,NA
15.0,21.0,70,6,2648,199.0,amc gremlin,90.00,1,NA
14.0,10.0,70,8,4615,360.0,ford f250,215.0,1,NA
15.0,10.0,70,8,4376,307.0,chevy c20,200.0,1,NA
13.5,11.0,70,8,4382,318.0,dodge d200,210.0,1,NA
18.5,9.0,70,8,4732,304.0,hi 1200d,193.0,1,NA
14.5,27.0,71,4,2130,97.00,datsun pl510,88.00,3,NA
15.5,28.0,71,4,2264,140.0,chevrolet vega 2300,90.00,1,2090
14.0,25.0,71,4,2228,113.0,toyota corona,95.00,3,2150
19.0,25.0,71,4,2046,98.00,ford pinto,NA,1,1919
20.0,NA,71,4,1978,97.00,volkswagen super beetle 117,48.00,2,NA
13.0,19.0,71,6,2634,232.0,amc gremlin,100.0,1,1999
15.5,16.0,71,6,3439,225.0,plymouth satellite custom,105.0,1,3003
15.5,17.0,71,6,3329,250.0,chevrolet chevelle malibu,100.0,1,NA
15.5,19.0,71,6,3302,250.0,ford torino 500,88.00,1,2950
15.5,18.0,71,6,3288,232.0,amc matador,100.0,1,3100
12.0,14.0,71,8,4209,350.0,chevrolet impala,165.0,1,3813
11.5,14.0,71,8,4464,400.0,pontiac catalina brougham,175.0,1,4154
13.5,14.0,71,8,4154,351.0,ford galaxie 500,153.0,1,NA
13.0,14.0,71,8,4096,318.0,plymouth fury iii,150.0,1,3612
11.5,12.0,71,8,4955,383.0,dodge monaco (sw),180.0,1,4689
12.0,13.0,71,8,4746,400.0,ford country squire (sw),170.0,1,4074
12.0,13.0,71,8,5140,400.0,pontiac safari (sw),175.0,1,4643
13.5,18.0,71,6,2962,258.0,amc hornet sportabout (sw),110.0,1,2334
19.0,22.0,71,4,2408,140.0,chevrolet vega (sw),72.00,1,2328
15.0,19.0,71,6,3282,250.0,pontiac firebird,100.0,1,3168
14.5,18.0,71,6,3139,250.0,ford mustang,88.00,1,3322
14.0,23.0,71,4,2220,122.0,mercury capri 2000,86.00,1,NA
14.0,28.0,71,4,2123,116.0,opel 1900,90.00,2,NA
19.5,30.0,71,4,2074,79.00,peugeot 304,70.00,2,2479
14.5,30.0,71,4,2065,88.00,fiat 124b,76.00,2,2081
19.0,31.0,71,4,1773,71.00,toyota corolla 1200,65.00,3,1798
18.0,35.0,71,4,1613,72.00,datsun 1200,69.00,3,NA
19.0,27.0,71,4,1834,97.00,volkswagen model 111,60.00,2,NA
20.5,26.0,71,4,1955,91.00,plymouth cricket,70.00,1,1915
15.5,24.0,72,4,2278,113.0,toyota corona hardtop,95.00,3,2532
17.0,25.0,72,4,2126,97.50,dodge colt hardtop,80.00,1,2233
23.5,23.0,72,4,2254,97.00,volkswagen type 3,54.00,2,2549
19.5,20.0,72,4,2408,140.0,chevrolet vega,90.00,1,2160
16.5,21.0,72,4,2226,122.0,ford pinto runabout,86.00,1,2078
12.0,13.0,72,8,4274,350.0,chevrolet impala,165.0,1,3979
12.0,14.0,72,8,4385,400.0,pontiac catalina,175.0,1,4080
13.5,15.0,72,8,4135,318.0,plymouth fury iii,150.0,1,3785
13.0,14.0,72,8,4129,351.0,ford galaxie 500,153.0,1,NA
11.5,17.0,72,8,3672,304.0,amc ambassador sst,150.0,1,3902
11.0,11.0,72,8,4633,429.0,mercury marquis,208.0,1,4572
13.5,13.0,72,8,4502,350.0,buick lesabre custom,155.0,1,4291
13.5,12.0,72,8,4456,350.0,oldsmobile delta 88 royale,160.0,1,4387
12.5,13.0,72,8,4422,400.0,chrysler newport royal,190.0,1,4124
13.5,19.0,72,3,2330,70.00,mazda rx2 coupe,97.00,3,2290
12.5,15.0,72,8,3892,304.0,amc matador (sw),150.0,1,3239
14.0,13.0,72,8,4098,307.0,chevrolet chevelle concours (sw),130.0,1,3244
16.0,13.0,72,8,4294,302.0,ford gran torino (sw),140.0,1,NA
14.0,14.0,72,8,4077,318.0,plymouth satellite custom (sw),150.0,1,3340
14.5,18.0,72,4,2933,121.0,volvo 145e (sw),112.0,2,3890
18.0,22.0,72,4,2511,121.0,volkswagen 411 (sw),76.00,2,3275
19.5,21.0,72,4,2979,120.0,peugeot 504 (sw),87.00,2,4095
18.0,26.0,72,4,2189,96.00,renault 12 (sw),69.00,2,2695
16.0,22.0,72,4,2395,122.0,ford pinto (sw),86.00,1,2265
17.0,28.0,72,4,2288,97.00,datsun 510 (sw),92.00,3,NA
14.5,23.0,72,4,2506,120.0,toyota corona mark ii (sw),97.00,3,NA
15.0,28.0,72,4,2164,98.00,dodge colt (sw),80.00,1,2451
16.5,27.0,72,4,2100,97.00,toyota corolla 1600 (sw),88.00,3,2301
13.0,13.0,73,8,4100,350.0,buick century 350,175.0,1,3057
11.5,14.0,73,8,3672,304.0,amc matador,150.0,1,2986
13.0,13.0,73,8,3988,350.0,chevrolet malibu,145.0,1,3010
14.5,14.0,73,8,4042,302.0,ford gran torino,137.0,1,3015
12.5,15.0,73,8,3777,318.0,dodge coronet custom,150.0,1,3129
11.5,12.0,73,8,4952,429.0,mercury marquis brougham,198.0,1,5151
12.0,13.0,73,8,4464,400.0,chevrolet caprice classic,150.0,1,4345
13.0,13.0,73,8,4363,351.0,ford ltd,158.0,1,3950
14.5,14.0,73,8,4237,318.0,plymouth fury gran sedan,150.0,1,4064
11.0,13.0,73,8,4735,440.0,chrysler new yorker brougham,215.0,1,5413
11.0,12.0,73,8,4951,455.0,buick electra 225 custom,225.0,1,4993
11.0,13.0,73,8,3821,360.0,amc ambassador brougham,175.0,1,4477
16.5,18.0,73,6,3121,225.0,plymouth valiant,105.0,1,2447
18.0,16.0,73,6,3278,250.0,chevrolet nova custom,100.0,1,2641
16.0,18.0,73,6,2945,232.0,amc hornet,100.0,1,2449
16.5,18.0,73,6,3021,250.0,ford maverick,88.00,1,2248
16.0,23.0,73,6,2904,198.0,plymouth duster,95.00,1,NA
21.0,26.0,73,4,1950,97.00,volkswagen super beetle,46.00,2,2499
14.0,11.0,73,8,4997,400.0,chevrolet impala,150.0,1,3836
12.5,12.0,73,8,4906,400.0,ford country,167.0,1,NA
13.0,13.0,73,8,4654,360.0,plymouth custom suburb,170.0,1,NA
12.5,12.0,73,8,4499,350.0,oldsmobile vista cruiser,180.0,1,3789
15.0,18.0,73,6,2789,232.0,amc gremlin,100.0,1,2098
19.0,20.0,73,4,2279,97.00,toyota carina,88.00,3,2589
19.5,21.0,73,4,2401,140.0,chevrolet vega,72.00,1,2192
16.5,22.0,73,4,2379,108.0,datsun 610,94.00,3,NA
13.5,18.0,73,3,2124,70.00,maxda rx3,90.00,3,3295
18.5,19.0,73,4,2310,122.0,ford pinto,85.00,1,2021
14.0,21.0,73,6,2472,155.0,mercury capri v6,107.0,1,NA
15.5,26.0,73,4,2265,98.00,fiat 124 sport coupe,90.00,2,3674
13.0,15.0,73,8,4082,350.0,chevrolet monte carlo s,145.0,1,3562
9.50,16.0,73,8,4278,400.0,pontiac grand prix,230.0,1,4583
19.5,29.0,73,4,1867,68.00,fiat 128,49.00,2,2195
15.5,24.0,73,4,2158,116.0,opel manta,75.00,2,NA
14.0,20.0,73,4,2582,114.0,audi 100ls,91.00,2,4275
15.5,19.0,73,4,2868,121.0,volvo 144ea,112.0,2,4340
11.0,15.0,73,8,3399,318.0,dodge dart custom,150.0,1,2658
14.0,24.0,73,4,2660,121.0,saab 99le,110.0,2,4095
13.5,20.0,73,6,2807,156.0,toyota mark ii,122.0,3,NA
11.0,11.0,73,8,3664,350.0,oldsmobile omega,180.0,1,2777
16.5,20.0,74,6,3102,198.0,plymouth duster,95.00,1,2829
17.0,21.0,74,6,2875,200.0,ford maverick,NA,1,2790
16.0,19.0,74,6,2901,232.0,amc hornet,100.0,1,2849
17.0,15.0,74,6,3336,250.0,chevrolet nova,100.0,1,2919
19.0,31.0,74,4,1950,79.00,datsun b210,67.00,3,NA
16.5,26.0,74,4,2451,122.0,ford pinto,80.00,1,2527
21.0,32.0,74,4,1836,71.00,toyota corolla 1200,65.00,3,2199
17.0,25.0,74,4,2542,140.0,chevrolet vega,75.00,1,2505
17.0,16.0,74,6,3781,250.0,chevrolet chevelle malibu classic,100.0,1,NA
18.0,16.0,74,6,3632,258.0,amc matador,110.0,1,3699
16.5,18.0,74,6,3613,225.0,plymouth satellite sebring,105.0,1,3468
14.0,16.0,74,8,4141,302.0,ford gran torino,140.0,1,3411
14.5,13.0,74,8,4699,350.0,buick century luxus (sw),150.0,1,4371
13.5,14.0,74,8,4457,318.0,dodge coronet custom (sw),150.0,1,3882
16.0,14.0,74,8,4638,302.0,ford gran torino (sw),140.0,1,4017
15.5,14.0,74,8,4257,304.0,amc matador (sw),150.0,1,3477
16.5,29.0,74,4,2219,98.00,audi fox,83.00,2,3975
15.5,26.0,74,4,1963,79.00,volkswagen dasher,67.00,2,4100
14.5,26.0,74,4,2300,97.00,opel manta,78.00,2,3275
16.5,31.0,74,4,1649,76.00,toyota corona,52.00,3,3344
19.0,32.0,74,4,2003,83.00,datsun 710,61.00,3,NA
14.5,28.0,74,4,2125,90.00,dodge colt,75.00,1,2585
15.5,24.0,74,4,2108,90.00,fiat 128,75.00,2,2684
14.0,26.0,74,4,2246,116.0,fiat 124 tc,75.00,2,4343
15.0,24.0,74,4,2489,120.0,honda civic,97.00,3,2545
15.5,26.0,74,4,2391,108.0,subaru,93.00,3,2997
16.0,31.0,74,4,2000,79.00,fiat x1.9,67.00,2,4167
16.0,19.0,75,6,3264,225.0,plymouth valiant custom,95.00,1,3422
16.0,18.0,75,6,3459,250.0,chevrolet nova,105.0,1,3280
21.0,15.0,75,6,3432,250.0,mercury monarch,72.00,1,3892
19.5,15.0,75,6,3158,250.0,ford maverick,72.00,1,3025
11.5,16.0,75,8,4668,400.0,pontiac catalina,170.0,1,4700
14.0,15.0,75,8,4440,350.0,chevrolet bel air,145.0,1,4345
14.5,16.0,75,8,4498,318.0,plymouth grand fury,150.0,1,4565
13.5,14.0,75,8,4657,351.0,ford ltd,148.0,1,4753
21.0,17.0,75,6,3907,231.0,buick century,110.0,1,4022
18.5,16.0,75,6,3897,250.0,chevroelt chevelle malibu,105.0,1,NA
19.0,15.0,75,6,3730,258.0,amc matador,110.0,1,3545
19.0,18.0,75,6,3785,225.0,plymouth fury,95.00,1,3672
15.0,21.0,75,6,3039,231.0,buick skyhawk,110.0,1,4173
13.5,20.0,75,8,3221,262.0,chevrolet monza 2+2,110.0,1,3953
12.0,13.0,75,8,3169,302.0,ford mustang ii,129.0,1,3801
16.0,29.0,75,4,2171,97.00,toyota corolla,75.00,3,2711
16.0,20.0,75,6,2914,232.0,amc gremlin,100.0,1,2798
18.5,23.0,75,4,2592,140.0,pontiac astro,78.00,1,3079
13.5,24.0,75,4,2702,134.0,toyota corona,96.00,3,4379
16.5,25.0,75,4,2223,90.00,volkswagen dasher,71.00,2,4700
17.0,24.0,75,4,2545,119.0,datsun 710,97.00,3,NA
17.0,23.0,75,4,2639,140.0,ford pinto,83.00,1,2769
14.0,29.0,75,4,1937,90.00,volkswagen rabbit,70.00,2,3330
17.0,19.0,75,6,3211,232.0,amc pacer,90.00,1,3299
15.0,23.0,75,4,2694,115.0,audi 100ls,95.00,2,6002
17.0,23.0,75,4,2957,120.0,peugeot 504,88.00,2,6330
