car_name,model_year,msrp,acceleration,mpg,cylinders,weight,displacement,horsepower,origin
amc ambassador dpl,70,3114,NA,NA,NA,NA,NA,NA,NA
chevrolet chevelle malibu,70,NA,12.0,18.0,8,3504,307.0,130.0,1
buick skylark 320,70,NA,11.5,15.0,8,3693,350.0,165.0,1
plymouth satellite,70,NA,11.0,18.0,8,3436,318.0,150.0,1
amc rebel sst,70,NA,12.0,16.0,8,3433,304.0,150.0,1
ford torino,70,NA,10.5,17.0,8,3449,302.0,140.0,1
ford galaxie 500,70,NA,10.0,15.0,8,4341,429.0,198.0,1
chevrolet impala,70,NA,9.0,14.0,8,4354,454.0,220.0,1
plymouth fury iii,70,NA,8.5,14.0,8,4312,440.0,215.0,1
pontiac catalina,70,NA,10.0,14.0,8,4425,455.0,225.0,1
citroen ds-21 pallas,70,NA,17.5,NA,4,3090,133.0,115.0,2
chevrolet chevelle concours (sw),70,NA,11.5,NA,8,4142,350.0,165.0,1
ford torino (sw),70,NA,11.0,NA,8,4034,351.0,153.0,1
plymouth satellite (sw),70,NA,10.5,NA,8,4166,383.0,175.0,1
amc rebel sst (sw),70,NA,11.0,NA,8,3850,360.0,175.0,1
dodge challenger se,70,NA,10.0,15.0,8,3563,383.0,170.0,1
plymouth 'cuda 340,70,NA,8.0,14.0,8,3609,340.0,160.0,1
ford mustang boss 302,70,NA,8.0,NA,8,3353,302.0,140.0,1
chevrolet monte carlo,70,NA,9.5,15.0,8,3761,400.0,150.0,1
buick estate wagon (sw),70,NA,10.0,14.0,8,3086,455.0,225.0,1
toyota corona mark ii,70,NA,15.0,24.0,4,2372,113.0,95.00,3
plymouth duster,70,NA,15.5,22.0,6,2833,198.0,95.00,1
amc hornet,70,NA,15.5,18.0,6,2774,199.0,97.00,1
ford maverick,70,NA,16.0,21.0,6,2587,200.0,85.00,1
datsun pl510,70,NA,14.5,27.0,4,2130,97.00,88.00,3
volkswagen 1131 deluxe sedan,70,NA,20.5,26.0,4,1835,97.00,46.00,2
peugeot 504,70,NA,17.5,25.0,4,2672,110.0,87.00,2
audi 100 ls,70,NA,14.5,24.0,4,2430,107.0,90.00,2
saab 99e,70,NA,17.5,25.0,4,2375,104.0,95.00,2
bmw 2002,70,NA,12.5,26.0,4,2234,121.0,113.0,2
amc gremlin,70,NA,15.0,21.0,6,2648,199.0,90.00,1
ford f250,70,NA,14.0,10.0,8,4615,360.0,215.0,1
chevy c20,70,NA,15.0,10.0,8,4376,307.0,200.0,1
