acceleration,mpg,model_year,cylinders,weight,displacement,car_name,origin,horsepower,msrp
12.0,18.0,70,8,3504,307.0,chevrolet chevelle malibu,1,130.0,NA
11.5,15.0,70,8,3693,350.0,buick skylark 320,1,165.0,NA
11.0,18.0,70,8,3436,318.0,plymouth satellite,1,150.0,NA
12.0,16.0,70,8,3433,304.0,amc rebel sst,1,150.0,NA
10.5,17.0,70,8,3449,302.0,ford torino,1,140.0,NA
10.0,15.0,70,8,4341,429.0,ford galaxie 500,1,198.0,NA
9.0,14.0,70,8,4354,454.0,chevrolet impala,1,220.0,NA
8.5,14.0,70,8,4312,440.0,plymouth fury iii,1,215.0,NA
10.0,14.0,70,8,4425,455.0,pontiac catalina,1,225.0,NA
17.5,NA,70,4,3090,133.0,citroen ds-21 pallas,2,115.0,NA
11.5,NA,70,8,4142,350.0,chevrolet chevelle concours (sw),1,165.0,NA
11.0,NA,70,8,4034,351.0,ford torino (sw),1,153.0,NA
10.5,NA,70,8,4166,383.0,plymouth satellite (sw),1,175.0,NA
11.0,NA,70,8,3850,360.0,amc rebel sst (sw),1,175.0,NA
10.0,15.0,70,8,3563,383.0,dodge challenger se,1,170.0,NA
8.0,14.0,70,8,3609,340.0,plymouth 'cuda 340,1,160.0,NA
8.0,NA,70,8,3353,302.0,ford mustang boss 302,1,140.0,NA
9.5,15.0,70,8,3761,400.0,chevrolet monte carlo,1,150.0,NA
10.0,14.0,70,8,3086,455.0,buick estate wagon (sw),1,225.0,NA
15.0,24.0,70,4,2372,113.0,toyota corona mark ii,3,95.00,NA
15.5,22.0,70,6,2833,198.0,plymouth duster,1,95.00,NA
15.5,18.0,70,6,2774,199.0,amc hornet,1,97.00,NA
16.0,21.0,70,6,2587,200.0,ford maverick,1,85.00,NA
14.5,27.0,70,4,2130,97.00,datsun pl510,3,88.00,NA
20.5,26.0,70,4,1835,97.00,volkswagen 1131 deluxe sedan,2,46.00,NA
17.5,25.0,70,4,2672,110.0,peugeot 504,2,87.00,NA
14.5,24.0,70,4,2430,107.0,audi 100 ls,2,90.00,NA
17.5,25.0,70,4,2375,104.0,saab 99e,2,95.00,NA
12.5,26.0,70,4,2234,121.0,bmw 2002,2,113.0,NA
15.0,21.0,70,6,2648,199.0,amc gremlin,1,90.00,NA
14.0,10.0,70,8,4615,360.0,ford f250,1,215.0,NA
15.0,10.0,70,8,4376,307.0,chevy c20,1,200.0,NA
13.5,11.0,70,8,4382,318.0,dodge d200,1,210.0,NA
18.5,9.0,70,8,4732,304.0,hi 1200d,1,193.0,NA
14.5,27.0,71,4,2130,97.00,datsun pl510,3,88.00,NA
15.5,28.0,71,4,2264,140.0,chevrolet vega 2300,1,90.00,NA
14.0,25.0,71,4,2228,113.0,toyota corona,3,95.00,NA
19.0,25.0,71,4,2046,98.00,ford pinto,1,NA,NA
20.0,NA,71,4,1978,97.00,volkswagen super beetle 117,2,48.00,NA
13.0,19.0,71,6,2634,232.0,amc gremlin,1,100.0,NA
15.5,16.0,71,6,3439,225.0,plymouth satellite custom,1,105.0,NA
15.5,17.0,71,6,3329,250.0,chevrolet chevelle malibu,1,100.0,NA
15.5,19.0,71,6,3302,250.0,ford torino 500,1,88.00,NA
15.5,18.0,71,6,3288,232.0,amc matador,1,100.0,NA
12.0,14.0,71,8,4209,350.0,chevrolet impala,1,165.0,NA
11.5,14.0,71,8,4464,400.0,pontiac catalina brougham,1,175.0,NA
13.5,14.0,71,8,4154,351.0,ford galaxie 500,1,153.0,NA
13.0,14.0,71,8,4096,318.0,plymouth fury iii,1,150.0,NA
11.5,12.0,71,8,4955,383.0,dodge monaco (sw),1,180.0,NA
12.0,13.0,71,8,4746,400.0,ford country squire (sw),1,170.0,NA
12.0,13.0,71,8,5140,400.0,pontiac safari (sw),1,175.0,NA
13.5,18.0,71,6,2962,258.0,amc hornet sportabout (sw),1,110.0,NA
19.0,22.0,71,4,2408,140.0,chevrolet vega (sw),1,72.00,NA
15.0,19.0,71,6,3282,250.0,pontiac firebird,1,100.0,NA
14.5,18.0,71,6,3139,250.0,ford mustang,1,88.00,NA
14.0,23.0,71,4,2220,122.0,mercury capri 2000,1,86.00,NA
14.0,28.0,71,4,2123,116.0,opel 1900,2,90.00,NA
19.5,30.0,71,4,2074,79.00,peugeot 304,2,70.00,NA
14.5,30.0,71,4,2065,88.00,fiat 124b,2,76.00,NA
19.0,31.0,71,4,1773,71.00,toyota corolla 1200,3,65.00,NA
18.0,35.0,71,4,1613,72.00,datsun 1200,3,69.00,NA
19.0,27.0,71,4,1834,97.00,volkswagen model 111,2,60.00,NA
20.5,26.0,71,4,1955,91.00,plymouth cricket,1,70.00,NA
15.5,24.0,72,4,2278,113.0,toyota corona hardtop,3,95.00,NA
17.0,25.0,72,4,2126,97.50,dodge colt hardtop,1,80.00,NA
23.5,23.0,72,4,2254,97.00,volkswagen type 3,2,54.00,NA
19.5,20.0,72,4,2408,140.0,chevrolet vega,1,90.00,NA
16.5,21.0,72,4,2226,122.0,ford pinto runabout,1,86.00,NA
12.0,13.0,72,8,4274,350.0,chevrolet impala,1,165.0,NA
12.0,14.0,72,8,4385,400.0,pontiac catalina,1,175.0,NA
