car_name,model_year,msrp,acceleration,mpg,cylinders,weight,displacement,horsepower,origin
amc ambassador dpl,70,3114,8.5,15.0,8,3850,390.0,190.0,1
amc rebel sst (sw),70,2766,11.0,NA,8,3850,360.0,175.0,1
buick estate wagon (sw),70,4226,10.0,14.0,8,3086,455.0,225.0,1
buick skylark 320,70,2847,11.5,15.0,8,3693,350.0,165.0,1
chevrolet chevelle concours (sw),70,3210,11.5,NA,8,4142,350.0,165.0,1
chevrolet chevelle malibu,70,2881,12.0,18.0,8,3504,307.0,130.0,1
chevrolet impala,70,3132,9.0,14.0,8,4354,454.0,220.0,1
chevrolet monte carlo,70,3123,9.5,15.0,8,3761,400.0,150.0,1
dodge challenger se,70,3914,10.0,15.0,8,3563,383.0,170.0,1
ford galaxie 500,70,3137,10.0,15.0,8,4341,429.0,198.0,1
ford maverick,70,1995,16.0,21.0,6,2587,200.0,85.00,1
ford mustang boss 302,70,3126,8.0,NA,8,3353,302.0,140.0,1
ford torino,70,2778,10.5,17.0,8,3449,302.0,140.0,1
ford torino (sw),70,3164,11.0,NA,8,4034,351.0,153.0,1
plymouth duster,70,2547,15.5,22.0,6,2833,198.0,95.00,1
plymouth fury iii,70,3174,8.5,14.0,8,4312,440.0,215.0,1
plymouth satellite,70,2831,11.0,18.0,8,3436,318.0,150.0,1
plymouth satellite (sw),70,3191,10.5,NA,8,4166,383.0,175.0,1
pontiac catalina,70,3164,10.0,14.0,8,4425,455.0,225.0,1
toyota corona mark ii,70,2170,15.0,24.0,4,2372,113.0,95.00,3
amc gremlin,71,1999,13.0,19.0,6,2634,232.0,100.0,1
amc hornet sportabout (sw),71,2334,13.5,18.0,6,2962,258.0,110.0,1
amc matador,71,3100,15.5,18.0,6,3288,232.0,100.0,1
chevrolet impala,71,3813,12.0,14.0,8,4209,350.0,165.0,1
chevrolet vega (sw),71,2328,19.0,22.0,4,2408,140.0,72.00,1
chevrolet vega 2300,71,2090,15.5,28.0,4,2264,140.0,90.00,1
dodge monaco (sw),71,4689,11.5,12.0,8,4955,383.0,180.0,1
fiat 124b,71,2081,14.5,30.0,4,2065,88.00,76.00,2
ford country squire (sw),71,4074,12.0,13.0,8,4746,400.0,170.0,1
ford mustang,71,3322,14.5,18.0,6,3139,250.0,88.00,1
ford pinto,71,1919,19.0,25.0,4,2046,98.00,NA,1
ford torino 500,71,2950,15.5,19.0,6,3302,250.0,88.00,1
peugeot 304,71,2479,19.5,30.0,4,2074,79.00,70.00,2
plymouth cricket,71,1915,20.5,26.0,4,1955,91.00,70.00,1
plymouth fury iii,71,3612,13.0,14.0,8,4096,318.0,150.0,1
plymouth satellite custom,71,3003,15.5,16.0,6,3439,225.0,105.0,1
pontiac catalina brougham,71,4154,11.5,14.0,8,4464,400.0,175.0,1
pontiac firebird,71,3168,15.0,19.0,6,3282,250.0,100.0,1
pontiac safari (sw),71,4643,12.0,13.0,8,5140,400.0,175.0,1
toyota corolla 1200,71,1798,19.0,31.0,4,1773,71.00,65.00,3
toyota corona,71,2150,14.0,25.0,4,2228,113.0,95.00,3
amc ambassador sst,72,3902,11.5,17.0,8,3672,304.0,150.0,1
amc matador (sw),72,3239,12.5,15.0,8,3892,304.0,150.0,1
buick lesabre custom,72,4291,13.5,13.0,8,4502,350.0,155.0,1
chevrolet chevelle concours (sw),72,3244,14.0,13.0,8,4098,307.0,130.0,1
chevrolet impala,72,3979,12.0,13.0,8,4274,350.0,165.0,1
chevrolet vega,72,2160,19.5,20.0,4,2408,140.0,90.00,1
chrysler newport royal,72,4124,12.5,13.0,8,4422,400.0,190.0,1
dodge colt (sw),72,2451,15.0,28.0,4,2164,98.00,80.00,1
dodge colt hardtop,72,2233,17.0,25.0,4,2126,97.50,80.00,1
ford pinto (sw),72,2265,16.0,22.0,4,2395,122.0,86.00,1
ford pinto runabout,72,2078,16.5,21.0,4,2226,122.0,86.00,1
mazda rx2 coupe,72,2290,13.5,19.0,3,2330,70.00,97.00,3
mercury marquis,72,4572,11.0,11.0,8,4633,429.0,208.0,1
oldsmobile delta 88 royale,72,4387,13.5,12.0,8,4456,350.0,160.0,1
peugeot 504 (sw),72,4095,19.5,21.0,4,2979,120.0,87.00,2
plymouth fury iii,72,3785,13.5,15.0,8,4135,318.0,150.0,1
plymouth satellite custom (sw),72,3340,14.0,14.0,8,4077,318.0,150.0,1
pontiac catalina,72,4080,12.0,14.0,8,4385,400.0,175.0,1
renault 12 (sw),72,2695,18.0,26.0,4,2189,96.00,69.00,2
toyota corolla 1600 (sw),72,2301,16.5,27.0,4,2100,97.00,88.00,3
toyota corona hardtop,72,2532,15.5,24.0,4,2278,113.0,95.00,3
volkswagen 411 (sw),72,3275,18.0,22.0,4,2511,121.0,76.00,2
volkswagen type 3,72,2549,23.5,23.0,4,2254,97.00,54.00,2
volvo 145e (sw),72,3890,14.5,18.0,4,2933,121.0,112.0,2
amc ambassador brougham,73,4477,11.0,13.0,8,3821,360.0,175.0,1
amc gremlin,73,2098,15.0,18.0,6,2789,232.0,100.0,1
amc hornet,73,2449,16.0,18.0,6,2945,232.0,100.0,1
amc matador,73,2986,11.5,14.0,8,3672,304.0,150.0,1
audi 100ls,73,4275,14.0,20.0,4,2582,114.0,91.00,2
buick century 350,73,3057,13.0,13.0,8,4100,350.0,175.0,1
buick electra 225 custom,73,4993,11.0,12.0,8,4951,455.0,225.0,1
chevrolet caprice classic,73,4345,12.0,13.0,8,4464,400.0,150.0,1
chevrolet impala,73,3836,14.0,11.0,8,4997,400.0,150.0,1
chevrolet malibu,73,3010,13.0,13.0,8,3988,350.0,145.0,1
chevrolet monte carlo s,73,3562,13.0,15.0,8,4082,350.0,145.0,1
chevrolet nova custom,73,2641,18.0,16.0,6,3278,250.0,100.0,1
chevrolet vega,73,2192,19.5,21.0,4,2401,140.0,72.00,1
chrysler new yorker brougham,73,5413,11.0,13.0,8,4735,440.0,215.0,1
dodge coronet custom,73,3129,12.5,15.0,8,3777,318.0,150.0,1
dodge dart custom,73,2658,11.0,15.0,8,3399,318.0,150.0,1
fiat 124 sport coupe,73,3674,15.5,26.0,4,2265,98.00,90.00,2
fiat 128,73,2195,19.5,29.0,4,1867,68.00,49.00,2
ford gran torino,73,3015,14.5,14.0,8,4042,302.0,137.0,1
ford ltd,73,3950,13.0,13.0,8,4363,351.0,158.0,1
ford maverick,73,2248,16.5,18.0,6,3021,250.0,88.00,1
ford pinto,73,2021,18.5,19.0,4,2310,122.0,85.00,1
maxda rx3,73,3295,13.5,18.0,3,2124,70.00,90.00,3
mercury marquis brougham,73,5151,11.5,12.0,8,4952,429.0,198.0,1
oldsmobile omega,73,2777,11.0,11.0,8,3664,350.0,180.0,1
oldsmobile vista cruiser,73,3789,12.5,12.0,8,4499,350.0,180.0,1
plymouth fury gran sedan,73,4064,14.5,14.0,8,4237,318.0,150.0,1
plymouth valiant,73,2447,16.5,18.0,6,3121,225.0,105.0,1
pontiac grand prix,73,4583,9.50,16.0,8,4278,400.0,230.0,1
saab 99le,73,4095,14.0,24.0,4,2660,121.0,110.0,2
toyota carina,73,2589,19.0,20.0,4,2279,97.00,88.00,3
volkswagen super beetle,73,2499,21.0,26.0,4,1950,97.00,46.00,2
volvo 144ea,73,4340,15.5,19.0,4,2868,121.0,112.0,2
amc hornet,74,2849,16.0,19.0,6,2901,232.0,100.0,1
amc matador,74,3699,18.0,16.0,6,3632,258.0,110.0,1
amc matador (sw),74,3477,15.5,14.0,8,4257,304.0,150.0,1
audi fox,74,3975,16.5,29.0,4,2219,98.00,83.00,2
buick century luxus (sw),74,4371,14.5,13.0,8,4699,350.0,150.0,1
chevrolet nova,74,2919,17.0,15.0,6,3336,250.0,100.0,1
chevrolet vega,74,2505,17.0,25.0,4,2542,140.0,75.00,1
dodge colt,74,2585,14.5,28.0,4,2125,90.00,75.00,1
dodge coronet custom (sw),74,3882,13.5,14.0,8,4457,318.0,150.0,1
fiat 124 tc,74,4343,14.0,26.0,4,2246,116.0,75.00,2
fiat 128,74,2684,15.5,24.0,4,2108,90.00,75.00,2
fiat x1.9,74,4167,16.0,31.0,4,2000,79.00,67.00,2
ford gran torino,74,3411,14.0,16.0,8,4141,302.0,140.0,1
ford gran torino (sw),74,4017,16.0,14.0,8,4638,302.0,140.0,1
ford maverick,74,2790,17.0,21.0,6,2875,200.0,NA,1
ford pinto,74,2527,16.5,26.0,4,2451,122.0,80.00,1
honda civic,74,2545,15.0,24.0,4,2489,120.0,97.00,3
opel manta,74,3275,14.5,26.0,4,2300,97.00,78.00,2
plymouth duster,74,2829,16.5,20.0,6,3102,198.0,95.00,1
plymouth satellite sebring,74,3468,16.5,18.0,6,3613,225.0,105.0,1
subaru,74,2997,15.5,26.0,4,2391,108.0,93.00,3
toyota corolla 1200,74,2199,21.0,32.0,4,1836,71.00,65.00,3
toyota corona,74,3344,16.5,31.0,4,1649,76.00,52.00,3
volkswagen dasher,74,4100,15.5,26.0,4,1963,79.00,67.00,2
amc gremlin,75,2798,16.0,20.0,6,2914,232.0,100.0,1
amc matador,75,3545,19.0,15.0,6,3730,258.0,110.0,1
amc pacer,75,3299,17.0,19.0,6,3211,232.0,90.00,1
audi 100ls,75,6002,15.0,23.0,4,2694,115.0,95.00,2
buick century,75,4022,21.0,17.0,6,3907,231.0,110.0,1
buick skyhawk,75,4173,15.0,21.0,6,3039,231.0,110.0,1
chevrolet bel air,75,4345,14.0,15.0,8,4440,350.0,145.0,1
chevrolet monza 2+2,75,3953,13.5,20.0,8,3221,262.0,110.0,1
chevrolet nova,75,3280,16.0,18.0,6,3459,250.0,105.0,1
ford ltd,75,4753,13.5,14.0,8,4657,351.0,148.0,1
ford maverick,75,3025,19.5,15.0,6,3158,250.0,72.00,1
ford mustang ii,75,3801,12.0,13.0,8,3169,302.0,129.0,1
ford pinto,75,2769,17.0,23.0,4,2639,140.0,83.00,1
honda civic cvcc,75,3009,17.5,33.0,4,1795,91.00,53.00,3
mercury monarch,75,3892,21.0,15.0,6,3432,250.0,72.00,1
peugeot 504,75,6330,17.0,23.0,4,2957,120.0,88.00,2
plymouth fury,75,3672,19.0,18.0,6,3785,225.0,95.00,1
plymouth grand fury,75,4565,14.5,16.0,8,4498,318.0,150.0,1
plymouth valiant custom,75,3422,16.0,19.0,6,3264,225.0,95.00,1
pontiac astro,75,3079,18.5,23.0,4,2592,140.0,78.00,1
pontiac catalina,75,4700,11.5,16.0,8,4668,400.0,170.0,1
saab 99le,75,5198,13.5,25.0,4,2671,121.0,115.0,2
toyota corolla,75,2711,16.0,29.0,4,2171,97.00,75.00,3
toyota corona,75,4379,13.5,24.0,4,2702,134.0,96.00,3
volkswagen dasher,75,4700,16.5,25.0,4,2223,90.00,71.00,2
volkswagen rabbit,75,3330,14.0,29.0,4,1937,90.00,70.00,2
volvo 244dl,75,6595,14.5,22.0,4,2945,121.0,98.00,2
amc hornet,76,3199,17.6,22.5,6,3085,232.0,90.00,1
amc matador,76,3725,13.9,15.5,8,3962,304.0,120.0,1
amc pacer d/l,76,3499,17.8,17.5,6,3193,258.0,95.00,1
cadillac seville,76,12479,12.1,16.5,8,4380,350.0,180.0,1
chevrolet chevelle malibu classic,76,4455,13.0,17.5,8,4215,305.0,140.0,1
chevrolet chevette,76,2558,22.2,29.0,4,2035,85.00,52.00,1
chevrolet nova,76,3413,14.5,22.0,6,3353,250.0,105.0,1
chevy c10,76,5087,12.0,13.0,8,4055,350.0,145.0,1
dodge aspen se,76,4413,17.7,20.0,6,3651,225.0,100.0,1
